X,Y,Z,ID,
0.6566032,42.6311217,0,,
0.6203527,42.6558889,0,,
0.5228286,42.6042858,0,,
0.5402586,42.5922661,0,,
0.5099826,42.5907204,0,,
0.6411393,42.6926688,0,,
0.5677851,42.5618933,0,,
0.5848654,42.6616161,0,,
0.6119123,42.6836722,0,,
0.6656399,42.6680461,0,,
0.56939,42.589002,0,,
0.6308142,42.6950164,0,,
0.6391667,42.6463889,0,,
0.6831175,42.5962504,0,,
0.6239696,42.6362176,0,,
0.5099457,42.6538696,0,,
0.4894671,42.5875946,0,,
0.467045,42.6446092,0,,
0.640278,42.646389,0,,
0.6499717,42.6788008,0,,
0.6545047,42.6668595,0,,
0.6766499,42.6603284,0,,
0.698611,42.629444,0,,
0.6569994,42.6542318,0,,
0.5105156,42.6061437,0,,
